dataset_id	intensity_mod	dwell_mod	mod_reads_freq
dataset_0001	0	0	0.0
dataset_0002	0	0.2	0.1
dataset_0003	0	0.4	0.1
dataset_0004	0	0.6	0.1
dataset_0005	0	0.8	0.1
dataset_0006	0	1	0.1
dataset_0007	0	2	0.1
dataset_0008	0	3	0.1
dataset_0009	0	4	0.1
dataset_0010	0	5	0.1
dataset_0011	0.2	0	0.1
dataset_0012	0.2	0.2	0.1
dataset_0013	0.2	0.4	0.1
dataset_0014	0.2	0.6	0.1
dataset_0015	0.2	0.8	0.1
dataset_0016	0.2	1	0.1
dataset_0017	0.2	2	0.1
dataset_0018	0.2	3	0.1
dataset_0019	0.2	4	0.1
dataset_0020	0.2	5	0.1
dataset_0021	0.4	0	0.1
dataset_0022	0.4	0.2	0.1
dataset_0023	0.4	0.4	0.1
dataset_0024	0.4	0.6	0.1
dataset_0025	0.4	0.8	0.1
dataset_0026	0.4	1	0.1
dataset_0027	0.4	2	0.1
dataset_0028	0.4	3	0.1
dataset_0029	0.4	4	0.1
dataset_0030	0.4	5	0.1
dataset_0031	0.6	0	0.1
dataset_0032	0.6	0.2	0.1
dataset_0033	0.6	0.4	0.1
dataset_0034	0.6	0.6	0.1
dataset_0035	0.6	0.8	0.1
dataset_0036	0.6	1	0.1
dataset_0037	0.6	2	0.1
dataset_0038	0.6	3	0.1
dataset_0039	0.6	4	0.1
dataset_0040	0.6	5	0.1
dataset_0041	0.8	0	0.1
dataset_0042	0.8	0.2	0.1
dataset_0043	0.8	0.4	0.1
dataset_0044	0.8	0.6	0.1
dataset_0045	0.8	0.8	0.1
dataset_0046	0.8	1	0.1
dataset_0047	0.8	2	0.1
dataset_0048	0.8	3	0.1
dataset_0049	0.8	4	0.1
dataset_0050	0.8	5	0.1
dataset_0051	1	0	0.1
dataset_0052	1	0.2	0.1
dataset_0053	1	0.4	0.1
dataset_0054	1	0.6	0.1
dataset_0055	1	0.8	0.1
dataset_0056	1	1	0.1
dataset_0057	1	2	0.1
dataset_0058	1	3	0.1
dataset_0059	1	4	0.1
dataset_0060	1	5	0.1
dataset_0061	2	0	0.1
dataset_0062	2	0.2	0.1
dataset_0063	2	0.4	0.1
dataset_0064	2	0.6	0.1
dataset_0065	2	0.8	0.1
dataset_0066	2	1	0.1
dataset_0067	2	2	0.1
dataset_0068	2	3	0.1
